track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,97
All Eyes On Me,['JISOO'],ME,2023-03-31,2,163522,0
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,92
DOGTOOTH,"['Tyler, The Creator']",CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,24,161041,0
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,80
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,90
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,92
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,86
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,86
Like Crazy (English Version),['Jimin'],FACE,2023-03-24,6,212253,85
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,88
"Arcángel: Bzrp Music Sessions, Vol. 54","['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",2023-03-22,1,223019,85
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,93
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,92
VOID,['Melanie Martinez'],PORTALS,2023-03-31,13,247875,41
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,62
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,92
Escapism.,"['RAYE', '070 Shake']",My 21st Century Blues,2023-02-03,15,272373,81
