track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,65
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,92
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,64
Bebe Dame,"['Fuerza Regida', 'Grupo Frontera']",Sigan Hablando,2022-12-28,13,271861,85
Que Vuelvas,"['Carin Leon', 'Grupo Frontera']",Que Vuelvas,2022-12-09,1,169418,91
Chanel,"['Becky G', 'Peso Pluma']",Chanel,2023-03-30,1,201993,89
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,85
Fin de semana,['Byron Bahamonde'],Loquito por ti mi amor,2023-05-04,5,224978,0
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,92
Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",Un Verano Sin Ti,2022-05-06,23,178567,92
People,['Libianca'],People,2022-12-06,1,184791,92
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,89
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,98
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,82
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,98
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,96
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,95
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,94
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,72
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,92
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,93
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,92
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
FLOWER,['JISOO'],ME,2023-03-31,2,173134,86
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,85
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,55
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,63
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,69
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,89
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,85
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,86
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
People,['Libianca'],People,2022-12-06,1,184791,92
Que Vuelvas,"['Carin Leon', 'Grupo Frontera']",Que Vuelvas,2022-12-09,1,169418,91
Bebe Dame,"['Fuerza Regida', 'Grupo Frontera']",Sigan Hablando,2022-12-28,13,271861,85
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,92
Chanel,"['Becky G', 'Peso Pluma']",Chanel,2023-03-30,1,201993,89
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,92
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,90
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,83
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,98
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,96
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,95
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,94
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,73
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,93
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,92
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,92
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,85
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,71
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,63
FLOWER,['JISOO'],ME,2023-03-31,2,173134,86
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,55
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,85
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,89
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,86
People,['Libianca'],People,2022-12-06,1,184791,92
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,92
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,90
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,92
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,92
Chemical,['Post Malone'],Chemical,2023-04-14,1,184013,89
Chanel,"['Becky G', 'Peso Pluma']",Chanel,2023-03-30,1,201993,89
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,84
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,98
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,96
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,95
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,94
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,74
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,93
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,93
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,92
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,63
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,74
FLOWER,['JISOO'],ME,2023-03-31,2,173134,86
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,55
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,85
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,89
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,86
People,['Libianca'],People,2022-12-06,1,184791,92
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,90
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Chemical,['Post Malone'],Chemical,2023-04-14,1,184013,89
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,92
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,92
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,92
Escapism.,"['RAYE', '070 Shake']",My 21st Century Blues,2023-02-03,15,272373,90
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,85
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,98
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,96
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,95
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,97
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,95
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,75
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,93
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,92
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,93
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,63
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,55
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,75
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
FLOWER,['JISOO'],ME,2023-03-31,2,173134,86
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,86
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,90
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,86
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,91
People,['Libianca'],People,2022-12-06,1,184791,92
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,92
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,92
Chemical,['Post Malone'],Chemical,2023-04-14,1,184013,90
Chanel,"['Becky G', 'Peso Pluma']",Chanel,2023-03-30,1,201993,90
OMG,['NewJeans'],NewJeans 'OMG',2023-01-02,2,212253,92
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,85
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,99
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,97
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,96
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,96
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,95
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,77
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,94
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,90
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,93
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,63
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,93
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,55
Moonlight,['Kali Uchis'],Red Moon In Venus,2023-03-03,15,187723,86
People,['Libianca'],People,2022-12-06,1,184791,92
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,91
FLOWER,['JISOO'],ME,2023-03-31,2,173134,86
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,86
Eyes Closed,['Ed Sheeran'],- (Deluxe),2023-05-05,18,194848,78
El Gordo Trae El Mando,['Chino Pacas'],El Gordo Trae El Mando,2023-01-27,1,112087,92
Mejor Que Yo,"['Anuel AA', 'DJ Luian', 'Mambo Kingz']",Mejor Que Yo,2023-05-04,1,242696,85
Mockingbird,['Eminem'],Encore (Deluxe Version),2004-11-12,23,250760,92
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,198937,93
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,92
Yellow,['Coldplay'],Parachutes,2000-07-10,10,266773,90
Chemical,['Post Malone'],Chemical,2023-04-14,1,184013,90
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,86
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,99
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,97
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,90
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,96
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,96
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,92
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,95
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,96
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,77
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,90
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,93
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,87
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,94
The Planet,['BTS'],The Planet,2023-05-12,1,178156,0
Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2023-02-03,2,131013,96
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,89
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,95
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,94
All My Life (feat. J. Cole),"['Lil Durk', 'J. Cole']",All My Life (feat. J. Cole),2023-05-12,1,223878,0
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,93
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,91
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,94
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,95
Por las Noches,['Peso Pluma'],Por las Noches,2021-06-11,1,239845,92
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
